urls,product_name,brand,star_rating,number_of_reviews,mrp,sale_price,technical_details,additional_information,description,Colour,Control Type,Item Weight,Warranty,Model,Wattage,Voltage,Capacity
https://www.amazon.in/Bajaj-1603-2200-Toaster-Grill/dp/B08PBRRY57/ref=sr_1_134?crid=3EX3CW9SYO17U&keywords=microwave+oven&qid=1698940582&refinements=p_89%3ABajaj%7CGodrej%7CHaier%7CIFB%7CKAFF%7CLG%7CMorphy+Richards%7CPanasonic%7CSamsung%7CVoltas+Beko%7CWhirlpool&rnid=3837712031&s=kitchen&sprefix=microwave+oven%2Ckitchen%2C829&sr=1-134,"Bajaj 1603 T, 2200 TMSS Oven Toaster Grill",Bajaj,Not Available,Not Available,"9,398.00","9,398.00","{'Brand': 'Bajaj', 'Colour': 'white, silver', 'Special Feature': 'Temperature Control, Timer', 'Control Type': 'Knob', 'Door Style': 'Dropdown Door', 'Included Components': 'Grill, Crumb tray', 'Door Material Type': 'Tempered Glass', 'ASIN': 'B08PBRRY57'}","{'Included Components': 'Grill, Crumb tray', 'Best Sellers Rank': '#1,400,595 in Home & Kitchen (See Top 100 in Home & Kitchen)\n#563 in Oven Toaster Grills'}","Includes Oven toaster grill,Baking Tray, Grill Rack, Tong, Crumb Tray and Skewer Rods . Temperature Control Range : 0-250 degree C
Cooking capability: Baking, Grilling, toasting , Timer with auto shut off, Element Selection Switch: Yes, Rotisserie: Yes
Capacity: 16 litres, Suitable for 2-3 people ,Powder coated and stainless steel body. Convection - Yes
Wattage: 1200W , Thermostat monitors the temperature ,Unique heating element design
Capacity: 22, Suitable for 4-5 people
Cooking capability: Baking, Grilling, toasting
Warranty: 2 year
Wattage: 1200W. Power Requirement : 230 V, 50 Hz|
","white, silver",Knob,,2 year,,1200W,"229 V, 50 Hz",16
https://www.amazon.in/Bajaj-1603-Oven-Toaster-Grill/dp/B08PBS4XQK/ref=sr_1_142?crid=3EX3CW9SYO17U&keywords=microwave+oven&qid=1698940582&refinements=p_89%3ABajaj%7CGodrej%7CHaier%7CIFB%7CKAFF%7CLG%7CMorphy+Richards%7CPanasonic%7CSamsung%7CVoltas+Beko%7CWhirlpool&rnid=3837712031&s=kitchen&sprefix=microwave+oven%2Ckitchen%2C829&sr=1-142,Bajaj 1603 Oven Toaster Grill And Dry Iron,Bajaj,2.1,2,"4,278.00","4,278.00","{'Brand': 'Bajaj', 'Colour': 'white', 'Special Feature': 'Temperature Control, Timer, Non Stick Coating', 'Control Type': 'Knob', 'Door Style': 'Dropdown Door', 'Included Components': 'Grill, Crumb tray', 'Door Material Type': 'Tempered Glass', 'ASIN': 'B08PBS4XQK'}","{'Included Components': 'Grill, Crumb tray', 'Best Sellers Rank': '#1,048,649 in Home & Kitchen (See Top 100 in Home & Kitchen)\n#459 in Oven Toaster Grills'}","Includes Oven toaster grill,Baking Tray, Grill Rack, Tong, Crumb Tray and Skewer Rods . Temperature Control Range : 0-250 degree C
Cooking capability: Baking, Grilling, toasting , Timer with auto shut off, Element Selection Switch: Yes, Rotisserie: Yes
Capacity: 16 litres, Suitable for 2-3 people ,Powder coated and stainless steel body. Convection - Yes
Wattage: 1200W , Thermostat monitors the temperature ,Unique heating element design
Non-stick coated golden color sole plate
Super clean finish with pleasant aesthetics
Cool touch body with comfortable hand grip
Light weight and 360 degree swivel cord, Material - Plastic
",white,Knob,,,,1200W,,16
https://www.amazon.in/Bajaj-Majesty-16-Litre-Toaster-1-8-Litre/dp/B08PBR4394/ref=sr_1_114?crid=3EX3CW9SYO17U&keywords=microwave+oven&qid=1698940570&refinements=p_89%3ABajaj%7CGodrej%7CHaier%7CIFB%7CKAFF%7CLG%7CMorphy+Richards%7CPanasonic%7CSamsung%7CVoltas+Beko%7CWhirlpool&rnid=3837712031&s=kitchen&sprefix=microwave+oven%2Ckitchen%2C829&sr=1-114,Bajaj Majesty 1603 T 16-Litre Oven Toaster Grill (White) & Bajaj RCX 5 1.8-Litre Rice Cooker,Bajaj,Not Available,Not Available,"5,298.00","5,298.00","{'Brand': 'Bajaj', 'Colour': 'white', 'Special Feature': 'Temperature Control, Timer, Non Stick Coating', 'Control Type': 'Knob', 'Door Style': 'Dropdown Door', 'Included Components': 'User Manual, Grill, Crumb tray', 'Door Material Type': 'Tempered Glass', 'ASIN': 'B08PBR4394'}","{'Included Components': 'User Manual, Grill, Crumb tray', 'Best Sellers Rank': '#1,008,455 in Home & Kitchen (See Top 100 in Home & Kitchen)\n#447 in Oven Toaster Grills'}","Includes Oven toaster grill,Baking Tray, Grill Rack, Tong, Crumb Tray and Skewer Rods . Temperature Control Range : 0-250 degree C
Cooking capability: Baking, Grilling, toasting , Timer with auto shut off, Element Selection Switch: Yes, Rotisserie: Yes
Capacity: 16 litres, Suitable for 2-3 people ,Powder coated and stainless steel body. Convection - Yes
Wattage: 1200W , Thermostat monitors the temperature ,Unique heating element design
1.8-Litre capacity; 1Kg raw rice cooking capacity
The Cooking Bowl is Aluminum with anodized finish. Steamer : No
Automatic cooking. Keep Warm : No
Warranty: 2 years on product
",white,Knob,,2 year,,1200W,,16
https://www.amazon.in/Bajaj-Majesty-16-Litre-Toaster-Radiant/dp/B08PBRZ6SL/ref=sr_1_128?crid=3EX3CW9SYO17U&keywords=microwave+oven&qid=1698940570&refinements=p_89%3ABajaj%7CGodrej%7CHaier%7CIFB%7CKAFF%7CLG%7CMorphy+Richards%7CPanasonic%7CSamsung%7CVoltas+Beko%7CWhirlpool&rnid=3837712031&s=kitchen&sprefix=microwave+oven%2Ckitchen%2C829&sr=1-128,Bajaj Majesty 1603 T 16-Litre Oven Toaster Grill (White) & Bajaj Flashy 1000 Watts Radiant Room Heater (Steel),Bajaj,Not Available,Not Available,"4,478.00","4,478.00","{'Brand': 'Bajaj', 'Colour': 'white', 'Special Feature': 'Temperature Control, Timer', 'Control Type': 'Knob', 'Door Style': 'Dropdown Door', 'Included Components': 'Grill, Crumb tray', 'Door Material Type': 'Tempered Glass', 'ASIN': 'B08PBRZ6SL'}","{'Included Components': 'Grill, Crumb tray', 'Best Sellers Rank': '#1,511,035 in Home & Kitchen (See Top 100 in Home & Kitchen)\n#596 in Oven Toaster Grills'}","Includes Oven toaster grill,Baking Tray, Grill Rack, Tong, Crumb Tray and Skewer Rods . Temperature Control Range : 0-250 degree C
Cooking capability: Baking, Grilling, toasting , Timer with auto shut off, Element Selection Switch: Yes, Rotisserie: Yes
Capacity: 16 litres, Suitable for 2-3 people ,Powder coated and stainless steel body. Convection - Yes
Wattage: 1200W , Thermostat monitors the temperature ,Unique heating element design
Radiant Warmth: Ideal for use in in small rooms, this 1000 Watts heater provides instant heating during winters. Heating Element Type - Wire wound on refractory rod, Nickle chrome plated mesh grid
Personalized Comfort: Customize to your heating needs with an adjustable thermostat. Body Material:-CRCA
Peace of Mind: Featuring cotton braided cord for safety and Nickel Chromium Plated mesh grid for effective heating, Neat & Clean Operation
Reliable & Safe: Our room heaters are dependable and they also come with a 2 Year warranty
",white,Knob,,,,1200W,,16
https://www.amazon.in/Bajaj-Majesty-16-Litre-Toaster-Vertical/dp/B08PBRY3HF/ref=sr_1_138?crid=3EX3CW9SYO17U&keywords=microwave+oven&qid=1698940582&refinements=p_89%3ABajaj%7CGodrej%7CHaier%7CIFB%7CKAFF%7CLG%7CMorphy+Richards%7CPanasonic%7CSamsung%7CVoltas+Beko%7CWhirlpool&rnid=3837712031&s=kitchen&sprefix=microwave+oven%2Ckitchen%2C829&sr=1-138,Bajaj Majesty 1603 T 16-Litre Oven Toaster Grill (White) & Bajaj Caldia Storage 15 Litre Vertical Water Heater (White),Bajaj,4,1,"11,899.00","11,899.00","{'Brand': 'Bajaj', 'Colour': 'white', 'Special Feature': 'Temperature Control, Timer', 'Control Type': 'Knob', 'Door Style': 'Dropdown Door', 'Included Components': 'Grill, Crumb tray', 'Door Material Type': 'Tempered Glass', 'ASIN': 'B08PBRY3HF'}","{'Included Components': 'Grill, Crumb tray'}","Includes Oven toaster grill,Baking Tray, Grill Rack, Tong, Crumb Tray and Skewer Rods . Temperature Control Range : 0-250 degree C
Cooking capability: Baking, Grilling, toasting , Timer with auto shut off, Element Selection Switch: Yes, Rotisserie: Yes
Capacity: 16 litres, Suitable for 2-3 people ,Powder coated and stainless steel body. Convection - Yes
Wattage: 1200W , Thermostat monitors the temperature ,Unique heating element design
Type: Storage; Capacity: 15 Ltrs; Wattage: 2000 Watts; Pressure: 8 bar; BEE Rating: 5 Star
Inner Tank Material: Mild Steel with Glass lined Coating; Outer Body Material: ABS + PP
Product Dimensions: 39 cms X 38 cms X 54 cms
Warranty : 2 years on Product; 2 years on Heating Element; 5 years on Tank
",white,Knob,,,,1200W,,16
https://www.amazon.in/Bajaj-Oven-Toaster-Grill-Iron/dp/B08PBS7D7Z/ref=sr_1_131?crid=3EX3CW9SYO17U&keywords=microwave+oven&qid=1698940582&refinements=p_89%3ABajaj%7CGodrej%7CHaier%7CIFB%7CKAFF%7CLG%7CMorphy+Richards%7CPanasonic%7CSamsung%7CVoltas+Beko%7CWhirlpool&rnid=3837712031&s=kitchen&sprefix=microwave+oven%2Ckitchen%2C829&sr=1-131,Bajaj DX 11 Oven Toaster Grill And Dry Iron,Bajaj,Not Available,Not Available,"4,148.00","4,148.00","{'Brand': 'Bajaj', 'Colour': 'white, blue', 'Special Feature': 'Temperature Control, Timer, Non Stick Coating', 'Control Type': 'Knob', 'Door Style': 'Dropdown Door', 'Included Components': 'Grill, Crumb tray', 'Door Material Type': 'Tempered Glass', 'ASIN': 'B08PBS7D7Z'}","{'Included Components': 'Grill, Crumb tray', 'Best Sellers Rank': '#624,010 in Home & Kitchen (See Top 100 in Home & Kitchen)\n#296 in Oven Toaster Grills'}","Includes Oven toaster grill,Baking Tray, Grill Rack, Tong, Crumb Tray and Skewer Rods . Temperature Control Range : 0-250 degree C
Cooking capability: Baking, Grilling, toasting , Timer with auto shut off, Element Selection Switch: Yes, Rotisserie: Yes
Capacity: 16 litres, Suitable for 2-3 people ,Powder coated and stainless steel body. Convection - Yes
Wattage: 1200W , Thermostat monitors the temperature ,Unique heating element design
360 Degrees swivel cord. Steam Burst : No
American heritage coating non stick sole plate
Dual color
Safety plus thermal fuse
","white, blue",Knob,,,,1200W,,16
https://www.amazon.in/Bajaj-Toaster-Grill-Mixer-Grinder/dp/B08PBRPN63/ref=sr_1_136?crid=3EX3CW9SYO17U&keywords=microwave+oven&qid=1698940582&refinements=p_89%3ABajaj%7CGodrej%7CHaier%7CIFB%7CKAFF%7CLG%7CMorphy+Richards%7CPanasonic%7CSamsung%7CVoltas+Beko%7CWhirlpool&rnid=3837712031&s=kitchen&sprefix=microwave+oven%2Ckitchen%2C829&sr=1-136,Bajaj 1603 Oven Toaster Grill And Mixer Grinder,Bajaj,4,Not Available,"6,375","4,278.00","{'Brand': 'Bajaj', 'Colour': 'white', 'Special Feature': 'Temperature Control, Timer', 'Control Type': 'Knob', 'Door Style': 'Dropdown Door', 'Included Components': 'Grill, Crumb tray', 'Door Material Type': 'Tempered Glass', 'ASIN': 'B08PBRPN63'}","{'Included Components': 'Grill, Crumb tray', 'Best Sellers Rank': '#1,231,867 in Home & Kitchen (See Top 100 in Home & Kitchen)\n#517 in Oven Toaster Grills'}","Includes Oven toaster grill,Baking Tray, Grill Rack, Tong, Crumb Tray and Skewer Rods . Temperature Control Range : 0-250 degree C
Cooking capability: Baking, Grilling, toasting , Timer with auto shut off, Element Selection Switch: Yes, Rotisserie: Yes
Capacity: 16 litres, Suitable for 2-3 people ,Powder coated and stainless steel body. Convection - Yes
Wattage: 1200W , Thermostat monitors the temperature ,Unique heating element design
Wattage: 500 W; Voltage: 220-240V ; Revolution: 20000. Grating : Yes
No of Jars: 3; Jar Size: 1.25 Litre liquidizing jar, 0.8 Litre multi purpose jar, 0.3 Litre chutney jar; Jar Material: Stainless Steel; Body Material: ABS; Cord Material: PVC; Blade Material: Stainless Steel; Speed Control: 3 speed control with incher for momentary operation
Do not worry if you experience some burning smell when you run your mixer grinder for the 1st time .This is due to the motor varnish getting heated for the 1st time. The problem should not recur in subsequent uses. If it does, please contact Brand Service Centre; Since your mixer grinder runs on a powerful motor, there will be some noise. If the noise level seems abnormal, please contact Brand Service Centre
Since your mixer grinder runs on a powerful motor, there will be some noise, if noise level seems to be abnormal then please contact brand customer support team; Do not worry if you experience some burning smell when you run your mixer grinder for the 1st time
",white,Knob,,,,1200W,,16
https://www.amazon.in/Bajaj-1603-Toaster-Grill-Heater/dp/B08PBV7WTC/ref=sr_1_126?crid=3EX3CW9SYO17U&keywords=microwave+oven&qid=1698940570&refinements=p_89%3ABajaj%7CGodrej%7CHaier%7CIFB%7CKAFF%7CLG%7CMorphy+Richards%7CPanasonic%7CSamsung%7CVoltas+Beko%7CWhirlpool&rnid=3837712031&s=kitchen&sprefix=microwave+oven%2Ckitchen%2C829&sr=1-126,Bajaj 1603 Oven Toaster Grill And Room Heater,Bajaj,5,2,"5,198.00","5,198.00","{'Brand': 'Bajaj', 'Colour': 'white', 'Special Feature': 'Portable, Temperature Control, Timer', 'Control Type': 'Knob', 'Door Style': 'Dropdown Door', 'Included Components': 'Grill, Crumb tray', 'Door Material Type': 'Tempered Glass', 'ASIN': 'B08PBV7WTC'}","{'Included Components': 'Grill, Crumb tray', 'Best Sellers Rank': '#1,017,192 in Home & Kitchen (See Top 100 in Home & Kitchen)\n#452 in Oven Toaster Grills'}","Includes Oven toaster grill,Baking Tray, Grill Rack, Tong, Crumb Tray and Skewer Rods . Temperature Control Range : 0-250 degree C
Cooking capability: Baking, Grilling, toasting , Timer with auto shut off, Element Selection Switch: Yes, Rotisserie: Yes
Capacity: 16 litres, Suitable for 2-3 people ,Powder coated and stainless steel body. Convection - Yes
Wattage: 1200W , Thermostat monitors the temperature ,Unique heating element design
Two heat settings - 1000W/2000W
Compact design
Easy for mobility and automatic thermal cutout for safety
",white,Knob,,,,1200W,,16
https://www.amazon.in/Bajaj-Toaster-Grill-Combo-Liters/dp/B08J56QVPJ/ref=sr_1_103?crid=3EX3CW9SYO17U&keywords=microwave+oven&qid=1698940559&refinements=p_89%3ABajaj%7CGodrej%7CHaier%7CIFB%7CKAFF%7CLG%7CMorphy+Richards%7CPanasonic%7CSamsung%7CVoltas+Beko%7CWhirlpool&rnid=3837712031&s=kitchen&sprefix=microwave+oven%2Ckitchen%2C829&sr=1-103,"Bajaj 1603 T Oven Toaster Grill Combo,16 Liters,White",Bajaj,4.7,4,"6,398.00","6,398.00","{'Brand': 'Bajaj', 'Colour': 'White', 'Special Feature': 'Temperature Control, Timer', 'Control Type': 'Knob', 'Door Style': 'Dropdown Door', 'Included Components': 'Grill, Crumb tray', 'Door Material Type': 'Tempered Glass', 'Country of Origin': 'China', 'ASIN': 'B08J56QVPJ'}","{'Included Components': 'Grill, Crumb tray', 'Best Sellers Rank': '#521,814 in Home & Kitchen (See Top 100 in Home & Kitchen)\n#259 in Oven Toaster Grills'}","Includes Oven toaster grill,Baking Tray, Grill Rack, Tong, Crumb Tray and Skewer Rods . Temperature Control Range : 0-250 degree C
Cooking capability: Baking, Grilling, toasting , Timer with auto shut off, Element Selection Switch: Yes, Rotisserie: Yes
Capacity: 16 litres, Suitable for 2-3 people ,Powder coated and stainless steel body. Convection - Yes
Wattage: 1200W , Thermostat monitors the temperature ,Unique heating element design
10L Capacity
SS Body.Ideal for 10-inch Pizza, Cookies and More
0-250 Degree Thermostat Range
800W Heating Element
",White,Knob,,,,1200W,,16
https://www.amazon.in/Bajaj-2200-TMSS-Toaster-Grill/dp/B08PBRF9RJ/ref=sr_1_105?crid=3EX3CW9SYO17U&keywords=microwave+oven&qid=1698940559&refinements=p_89%3ABajaj%7CGodrej%7CHaier%7CIFB%7CKAFF%7CLG%7CMorphy+Richards%7CPanasonic%7CSamsung%7CVoltas+Beko%7CWhirlpool&rnid=3837712031&s=kitchen&sprefix=microwave+oven%2Ckitchen%2C829&sr=1-105,Bajaj 2200 TMSS Oven Toaster Grill And Dry Iron,Bajaj,5,1,"6,348.00","6,348.00","{'Brand': 'Bajaj', 'Colour': 'white, blue', 'Special Feature': 'Temperature Control, Non Stick Coating', 'Control Type': 'Knob', 'Door Style': 'Dropdown Door', 'Included Components': 'Grill', 'Door Material Type': 'Tempered Glass', 'ASIN': 'B08PBRF9RJ'}","{'Included Components': 'Grill', 'Best Sellers Rank': '#720,387 in Home & Kitchen (See Top 100 in Home & Kitchen)\n#336 in Oven Toaster Grills'}","Capacity: 22, Suitable for 4-5 people
Cooking capability: Baking, Grilling, toasting
Warranty: 2 year
Wattage: 1200W. Power Requirement : 230 V, 50 Hz|
360 Degrees swivel cord. Steam Burst : No
American heritage coating non stick sole plate
Dual color
Safety plus thermal fuse
","white, blue",Knob,,2 year,,1200W,"230 V, 50 Hz",22
